Source_Name DataRelease RAJ2000 DEJ2000 GLON GLAT Signif_Avg Flux1000 Unc_Flux1000 Energy_Flux100 Unc_Energy_Flux100 SpectrumType PL_Index Unc_PL_Index Pivot_Energy LP_Index Unc_LP_Index LP_beta Unc_LP_beta Flags CLASS ASSOC1 ASSOC_PROB_BAY ASSOC_PROB_LR Counterpart_Catalog RA_Counterpart DEC_Counterpart Unc_Counterpart VLBI_Counterpart Redshift SED_class nu_syn nuFnu_syn Variability_Index Frac_Variability Unc_Frac_Variability Highest_energy
"4FGL J1631.2+4926" 2 247.8008 49.4481 76.484184 42.752197 5.3377376 1.1450911e-10 2.5304257e-11 8.15903e-12 1.8316e-12 PowerLaw 2.5244832 0.15030779 922.6273 2.4899096 0.20117325 0.121536486 0.12138964 0 fsrq "TXS 1629+495" 0.99298215 0.89752054 cgrabs 247.8189239501953 49.460975646972656 1.3e-07 "RFC J1631+4927" 0.52 LSP 14962356000000.0 1.3869443e-12 4.6852527 0.0 10.0 -inf
"4FGL J1643.7+3317" 1 250.9433 33.299 54.965305 40.06117 5.6605344 6.802328e-11 2.1320494e-11 9.099059e-13 3.0637626e-13 PowerLaw 1.6103061 0.16958988 9649.717 1.1996312 0.46270522 0.99979836 0.027464306 0 bcu "RX J1643.5+3316" 0.994016 0.0 rfc 250.914399667 33.279961025 1.3999999737279722e-06 "RFC J1643+3316" 0.61571 HSP 1258925400000000.0 3.0927656e-13 9.6616745 0.0 10.0 18.365
"4FGL J1644.2+4546" 1 251.0556 45.776 71.35387 40.836487 7.0437703 1.07571035e-10 2.4209062e-11 1.4167375e-12 3.094448e-13 PowerLaw 1.8923074 0.15690115 4294.005 1.8639277 0.19149655 0.021569842 0.08019208 0 bll "B3 1642+458" 0.9981637 0.9469215 crates 251.083214242 45.7789985083 3.3000000598804036e-07 "RFC J1644+4546" 0.225  0.0 0.0 8.464905 0.0 10.0 112.096
"4FGL J2326.9-0201" 1 351.7355 -2.023 80.476326 -57.75372 7.654225 2.3168963e-10 3.9191293e-11 3.230926e-12 6.1422547e-13 PowerLaw 2.5064192 0.13702029 1113.7603 2.5230842 0.11721954 -0.040367134 0.050576832 4 rdg "PKS 2324-02" 0.9939344 0.9923741 magn 351.7240696 -2.03716139722 1.3000000365082087e-07 "RFC J2326-0202" 0.188 HSP 1258925400000000.0 5.593427e-12 6.5790977 0.0 10.0 -inf
"4FGL J0017.5-0514" 1 4.3949 -5.2347 101.209854 -66.667816 23.468843 7.581995e-10 5.55433e-11 1.2202161e-11 8.882785e-13 LogParabola 2.563 0.043876015 830.78595 2.5941525 0.057559416 0.10512555 0.03735587 0 FSRQ "PMN J0017-0512" 1.0 0.93868506 identified 4.39923841667 -5.21160222222 1.1000000199601345e-07 "RFC J0017-0512" 0.227 LSP 8491804700000.0 2.6072339e-12 230.15605 0.9217864 0.22516438 -inf
"4FGL J0224.2+0700" 1 36.0577 7.0126 159.62587 -49.133923 6.8682303 2.1699637e-10 3.832737e-11 3.785411e-12 5.984316e-13 PowerLaw 2.5021942 0.114288315 926.1573 2.489407 0.14069788 0.069840655 0.08244498 0 fsrq "PKS 0221+067" 0.9911936 0.9368385 bzcat 36.1184508125 6.98981711111 6.799999852091787e-08 "RFC J0224+0659" 0.511 LSP 7943282500000.0 4.9573093e-12 21.842363 0.47665513 0.21432766 -inf
"4FGL J0309.7-0745" 1 47.4326 -7.7655 188.81047 -51.972042 10.887765 3.1138253e-10 4.148528e-11 3.7061352e-12 5.409563e-13 PowerLaw 1.9761335 0.09657605 2819.8923 1.8710077 0.16049404 0.09222376 0.102435164 0 bll "NVSS J030943-074427" 0.99904084 0.9218371 bzcat 47.4301745083 -7.74096815278 3.899999967416079e-07 "RFC J0309-0744" -inf HSP 1258925400000000.0 2.2029214e-12 10.909685 0.22868693 0.24001831 37.7502
"4FGL J0924.0+2816" 1 141.0049 28.2755 198.86385 44.43688 16.671871 3.6885903e-10 3.7658276e-11 5.3750194e-12 4.6190954e-13 PowerLaw 2.5055525 0.069150016 729.0477 2.522946 0.061594434 -0.043266125 0.030970037 0 fsrq "B2 0920+28" 0.9883921 0.8883514 bzcat 140.964680771 28.2569505417 9.499999720219421e-08 "RFC J0923+2815" 0.7442 LSP 4852885000000.0 2.7639997e-12 95.93837 0.785735 0.20346232 -inf
"4FGL J1011.3-0427" 1 152.8253 -4.4577 245.98099 40.08529 3.6973312 1.0842896e-10 3.08802e-11 2.7168688e-12 5.0853115e-13 PowerLaw 2.557727 0.17219517 780.63306 2.3530257 0.33048615 0.30114838 0.22400653 4096 fsrq "PKS B1008-041" 0.98409736 0.89758503 bzcat 152.8759996 -4.39102979167 1.8000000068241206e-07 "RFC J1011-0423" 1.588 LSP 5754399500000.0 4.5400538e-13 27.79211 0.83216417 0.30787495 -inf
"4FGL J1058.4+0133" 1 164.624 1.5641 251.51395 52.772823 94.76047 5.990666e-09 1.3316037e-10 6.61403e-11 1.7445063e-12 LogParabola 2.2327335 0.014236456 802.76245 2.1902373 0.01996891 0.047848877 0.009543944 0 BLL "4C +01.28" 1.0 0.99900484 identified 164.623355025 1.56633992778 6.799999852091787e-08 "RFC J1058+0133" 0.89 LSP 7328245500000.0 1.666069e-11 380.50497 0.36256024 0.0873343 58.0975
"4FGL J1121.3-0011" 1 170.3496 -0.1836 260.8585 55.156696 6.0930386 1.5750483e-10 3.394086e-11 1.9716314e-12 4.4603682e-13 PowerLaw 1.9687265 0.16277878 3434.5054 1.9460145 0.20946097 0.015065882 0.08876391 0 bcu "MGC 0019706" 0.9958526 0.94880944 at20g 170.330926062 -0.221237736111 1.8000000068241206e-07 "RFC J1121-0013" 0.0993  0.0 0.0 9.279518 0.0 10.0 90.9489
"4FGL J1150.4+2418" 1 177.6029 24.3016 221.15736 75.97659 32.529964 1.370105e-09 6.686985e-11 1.6564482e-11 7.7280614e-13 PowerLaw 2.2281256 0.032730535 1107.6464 2.19249 0.040894486 0.05770714 0.022188278 0 bll "OM 280" 0.9980618 0.9756222 cgrabs 177.580050737 24.2982875667 6.799999852091787e-08 "RFC J1150+2417" 0.2 ISP 118304150000000.0 9.954123e-12 26.722923 0.18376565 0.06402471 49.881
"4FGL J1310.6+2449" 1 197.6525 24.8323 5.946135 85.11844 12.037482 2.639768e-10 3.488142e-11 2.5123896e-12 3.9772585e-13 PowerLaw 1.9907994 0.10423642 2896.3345 2.0542355 0.105662316 -0.042676304 0.04093724 0 bll "CRATES J131038.52+244822.1" 0.9965634 0.8746666 crates 197.660474746 24.8061512111 2.4000000848900527e-06 "RFC J1310+2448" 0.226  0.0 0.0 7.696338 0.0 10.0 237.433
"4FGL J1506.1+3731" 1 226.5347 37.5183 61.657764 59.899635 62.17937 1.7970746e-09 6.632789e-11 2.7822154e-11 7.7286284e-13 LogParabola 2.496249 0.020570673 431.16562 2.3983736 0.030771352 0.101868585 0.017708445 0 fsrq "B2 1504+37" 0.9998283 0.9942335 cgrabs 226.539708225 37.5142034722 6.799999852091787e-08 "RFC J1506+3730" 0.673 LSP 3845917800000.0 2.2806414e-12 1644.6829 1.0216472 0.24190105 26.6169
"4FGL J1615.6+4712" 1 243.9222 47.2028 73.86729 45.610104 17.411026 4.1086423e-10 3.628689e-11 5.142282e-12 4.6389737e-13 PowerLaw 2.1893528 0.07143676 1761.3514 2.1600478 0.08566668 0.047654476 0.043805376 0 fsrq "B3 1614+473" 0.9983829 0.98301685 bllac 243.92173825 47.1866011028 1.7697221892376547e-06 "RFC J1615+4711" 0.19863 ISP 131825674000000.0 2.3706586e-12 21.71453 0.36324516 0.13469063 25.8569
"4FGL J1623.6+5743" 1 245.9186 57.729 87.787605 42.15446 7.3705945 1.5044653e-10 2.5043601e-11 1.7462817e-12 3.1813273e-13 PowerLaw 2.1927683 0.1331219 1989.9481 2.1735828 0.15110254 0.019422306 0.07063708 0 fsrq "TXS 1623+578" 0.8857719 0.0 cgrabs 246.103364858 57.6878558306 6.799999852091787e-08 "RFC J1624+5741" 0.789  0.0 0.0 3.188225 0.0 10.0 -inf
"4FGL J2142.7-0437" 1 325.6934 -4.6241 50.914684 -39.78229 7.3032994 1.9996794e-10 3.4617195e-11 2.8087348e-12 5.180373e-13 PowerLaw 2.29698 0.13691117 1578.1613 2.2453828 0.19420643 0.04625398 0.10031993 0 fsrq "PKS 2140-048" 0.9956552 0.9635708 cgrabs 325.653757046 -4.62875345556 1.199999957179898e-07 "RFC J2142-0437" 0.344 LSP 29648314000000.0 2.085499e-12 10.491195 0.24317463 0.38357702 -inf
"4FGL J2219.2-0342" 1 334.8235 -3.7102 59.000404 -46.803753 12.12337 3.341108e-10 4.553054e-11 4.6142417e-12 6.5818526e-13 PowerLaw 2.6821742 0.07938812 506.0743 2.619525 0.108567804 0.126423 0.07897739 2 fsrq "PKS 2216-03" 0.87295747 0.99897295 cgrabs 334.716823858 -3.59357765 7.500000265281415e-08 "RFC J2218-0335" 0.901 LSP 20892960000000.0 7.852157e-12 88.440636 0.9013418 0.23279606 -inf
