,Source_Name,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,CLASS,ASSOC1,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
46,4FGL J0043.7-1116,2.0266369e-10,3.4362683e-11,2.7814602e-12,4.817193e-13,PowerLaw,1.9115086,0.11866547,bll,1RXS J004349.3-111612,10.9527783458,-11.2686986167,2.7999999474559445e-07,0.264,HSP,3019951760000000.0,1.0317489e-12,16.632286,0.53038365,0.2608136,37.3085
47,4FGL J0045.3+2128,1.5123338e-09,7.295282e-11,1.9053701e-11,1.2283666e-12,LogParabola,1.8091009,0.032252893,bll,GB6 J0045+2127,11.3304093833,21.4611111167,1.5999999902760464e-07,-inf,HSP,7943282200000000.0,5.5650107e-12,222.41537,0.8441885,0.20513287,246.753
48,4FGL J0045.7+1217,8.992199e-10,5.8244395e-11,1.0574051e-11,7.6212425e-13,PowerLaw,1.9824255,0.048569955,bll,GB6 J0045+1217,11.4305854667,12.2866125472,2.7999999474559445e-07,-inf,,0.0,0.0,37.515175,0.35393095,0.10914411,61.4806
49,4FGL J0047.9+3947,7.8084383e-10,4.9791258e-11,8.303697e-12,6.3665105e-13,PowerLaw,1.9808937,0.047365777,bll,B3 0045+395,11.9800987167,39.8160040972,1.999999994950485e-06,0.2517,,0.0,0.0,52.794594,0.41853198,0.12081468,51.4693
50,4FGL J0049.0+2252,1.8548975e-10,4.0535426e-11,2.2687514e-12,6.546506e-13,PowerLaw,2.2272182,0.1735827,bll,CRATES J004901.37+225315.4,12.2557127708,22.8876298333,6.099999723119254e-07,0.26415,ISP,158489326000000.0,2.800606e-13,7.098238,0.0,10.0,36.7681
51,4FGL J0049.1+4223,1.3919822e-10,3.1664255e-11,1.7788607e-12,3.9644172e-13,PowerLaw,1.9263899,0.15039791,bll,GALEXASC J004859.14+422351.4,12.246458053588867,42.39752960205078,0.0044999998062849,0.302,,0.0,0.0,14.666899,0.39451432,0.44732866,76.2619
52,4FGL J0049.7+0237,1.298064e-09,6.4932885e-11,1.2530758e-11,6.7152626e-13,PowerLaw,2.210674,0.034202173,bll,PKS 0047+023,12.4301497625,2.61771626944,8.199999967928306e-08,1.474,LSP,22908676100000.0,1.5301817e-12,115.451965,0.41586488,0.10760098,35.4143
53,4FGL J0050.7-0929,3.9268455e-09,1.1222934e-10,3.4208143e-11,1.3811233e-12,LogParabola,2.016378,0.018085841,BLL,PKS 0048-09,12.6721557792,-9.48478064167,6.799999852091787e-08,0.635,ISP,131825674000000.0,6.6020986e-12,157.92975,0.30774903,0.07693842,101.728
54,4FGL J0051.2-6242,1.8131997e-09,7.0066404e-11,1.6270926e-11,1.0847011e-12,LogParabola,1.7622628,0.025612539,bll,1RXS J005117.7-624154,12.8193610875,-62.7012247278,1.0584067240415609e-06,0.3,HSP,9036495200000000.0,4.6441262e-12,164.28955,0.532574,0.131917,122.743
55,4FGL J0054.7-2455,7.298831e-10,4.9623257e-11,9.230743e-12,9.10992e-13,PowerLaw,1.774527,0.04566358,bll,FRBA J0054-2455,13.6948312708,-24.9247829056,6.700000199089118e-07,0.12,HSP,5649369700000000.0,2.9569977e-12,16.972061,0.18397312,0.09916509,113.344
56,4FGL J0056.3-0935,7.2247486e-10,5.3614075e-11,7.9879905e-12,7.441598e-13,PowerLaw,1.8729496,0.053812094,bll,TXS 0053-098,14.0836688542,-9.60829255278,2.0000000233721948e-07,0.103147,ISP,146217716000000.0,7.02637e-12,22.671005,0.2781732,0.11262743,310.408
57,4FGL J0056.4-2118,9.4887e-10,6.0303235e-11,6.721859e-12,7.2034175e-13,LogParabola,1.9121008,0.041611154,bll,PMN J0056-2117,14.134481525,-21.2855897528,4.400000079840538e-07,-inf,ISP,309029541000000.0,2.107012e-12,25.119616,0.26254743,0.09634873,48.1237
58,4FGL J0056.8+1626,1.6787448e-10,3.4132537e-11,2.2600647e-12,4.5806127e-13,PowerLaw,2.1954598,0.15375534,bll,TXS 0054+161,14.2303930542,16.4203724917,7.500000265281416e-08,0.206,LSP,1862087080000.0,4.2971648e-13,10.791105,0.3029057,0.41871867,-inf
