Source_Name,Energy_Flux100,Unc_Energy_Flux100,PL_Index,CLASS,RA_Counterpart,DEC_Counterpart,Redshift,SED_class,nuFnu_syn,Highest_energy,ASSOC1
4FGL J0116.0-1136,1.27E-11,6.26E-13,2.3620806,fsrq,19.05217512,-11.60428733,0.67,LSP,5.10E-12,12.9248,PKS 0113-118
4FGL J0116.5-3046,2.12E-12,3.94E-13,2.6980448,fsrq,18.94377295,-30.8220557,1.414,,0,-inf,PKS 0113-310
4FGL J0117.8-2109,1.14E-11,9.13E-13,2.3761268,fsrq,19.45325057,-21.18517587,1.49,LSP,1.90E-12,12.3464,PKS 0115-214
4FGL J0118.9-2141,3.15E-11,1.33E-12,2.259725,fsrq,19.73859243,-21.69170562,1.165,LSP,3.86E-12,48.4174,PKS 0116-219
4FGL J0125.7-0015,4.07E-12,5.05E-13,2.9635518,fsrq,21.32146089,-0.3080298333,1.077,,0,-inf,PKS 0122-005
4FGL J0126.0-2221,6.84E-12,5.80E-13,2.5871994,fsrq,21.56250692,-22.37600083,0.72,LSP,1.32E-12,-inf,PKS 0123-226
4FGL J0128.5+4440,1.58E-12,3.92E-13,2.131759,fsrq,22.17224553,44.65499475,0.228,LSP,2.83E-13,19.8206,GB6 J0128+4439
4FGL J0129.8+1440,4.54E-12,5.42E-13,2.7014964,fsrq,22.48061319,14.77995456,1.626359,LSP,3.40E-13,-inf,4C +14.06
4FGL J0132.7-1654,2.17E-11,7.65E-13,2.3434708,fsrq,23.18119775,-16.91347833,1.02,LSP,6.47E-12,24.8542,PKS 0130-17
4FGL J0133.1-5201,9.92E-12,5.73E-13,2.323499,fsrq,23.27401045,-52.00109596,0.925,LSP,8.72E-13,18.7359,PKS 0131-522
4FGL J0134.3-3842,2.28E-12,3.51E-13,2.48977,fsrq,23.63345898,-38.72594046,2.14,LSP,1.20E-12,-inf,PMN J0134-3843
4FGL J0134.5+2637,9.43E-12,7.38E-13,1.9873419,fsrq,23.61747831,26.645281,0.571,HSP,4.49E-12,242.259,RX J0134.4+2638
4FGL J0137.0+4751,4.45E-11,1.23E-12,2.3015184,fsrq,24.24414503,47.85808336,0.859,LSP,1.43E-11,41.0128,OC 457
4FGL J0137.6-2430,1.64E-11,6.25E-13,2.536223,fsrq,24.40977686,-24.51496819,0.835,LSP,6.77E-12,25.4856,PKS 0135-247
4FGL J0145.0-2732,1.21E-11,5.63E-13,2.6034374,fsrq,26.26414414,-27.55953568,1.148,LSP,3.47E-12,10.1773,PKS 0142-278
4FGL J0152.2+2206,7.35E-12,6.09E-13,2.6774778,fsrq,28.07524602,22.11880551,1.32,LSP,2.48E-12,-inf,PKS 0149+21
4FGL J0153.5-5107,3.85E-12,5.97E-13,3.2412739,fsrq,28.58206558,-51.13103485,1.582,LSP,5.52E-13,-inf,PKS 0152-513
4FGL J0157.7-4614,5.76E-12,7.30E-13,2.4454005,fsrq,29.46298267,-46.23979469,2.287,LSP,2.19E-13,-inf,PMN J0157-4614
4FGL J0158.8+0101,3.71E-12,5.26E-13,2.5186286,fsrq,29.71987827,1.025812064,1.61,LSP,2.94E-13,20.4981,GB6 J0158+0101
4FGL J0200.6-6637,4.90E-12,4.56E-13,2.577632,fsrq,30.28226681,-66.63685163,-inf,LSP,3.67E-13,10.8928,PMN J0201-6638
4FGL J0202.4+0849,2.10E-12,4.72E-13,1.8334899,fsrq,30.61009788,8.820470464,0.629,HSP,7.73E-13,46.7656,TXS 0159+085
4FGL J0202.6-0258,2.92E-12,4.96E-13,2.3761237,fsrq,30.66637493,-3.035540992,1.34441,LSP,3.12E-13,-inf,WISE J020239.94-030207.9
4FGL J0205.0-1700,1.23E-11,5.70E-13,2.6324944,fsrq,31.24030974,-17.022178,1.74,LSP,1.38E-12,-inf,PKS 0202-17
4FGL J0205.2+3212,1.30E-11,7.25E-13,2.656786,fsrq,31.27052236,32.20835986,1.466,LSP,2.60E-12,17.3471,B2 0202+31
4FGL J0206.0-0958,1.38E-12,3.87E-13,1.8365036,fsrq,31.56625517,-9.954854072,0.165866,,0,10.6089,2MASS J02061590-0957174
4FGL J0206.4-1151,1.22E-11,6.25E-13,2.3991108,fsrq,31.6086864,-11.8443679,1.663,LSP,1.02E-12,14.2236,PMN J0206-1150
4FGL J0217.0-0821,4.48E-12,4.89E-13,2.343247,fsrq,34.26109301,-8.347875583,0.607,LSP,1.35E-12,-inf,PKS 0214-085
4FGL J0217.4+7352,1.29E-11,1.07E-12,2.9398217,fsrq,34.37838902,73.82572827,2.367,LSP,2.40E-12,-inf,S5 0212+73
4FGL J0217.8+0144,3.16E-11,1.13E-12,2.23636,fsrq,34.45397815,1.747138633,1.715,LSP,7.68E-12,50.0129,PKS 0215+015
4FGL J0220.2+3246,2.81E-12,5.71E-13,2.7438648,fsrq,35.2002209,32.68512883,1.62,LSP,6.52E-13,-inf,CRATES J022048+324116
4FGL J0221.5+2513,1.82E-12,3.61E-13,2.0220895,fsrq,35.36235456,25.24268479,0.4818,ISP,4.33E-13,-inf,2MASS J02212698+2514338
4FGL J0222.0-1616,5.85E-12,5.32E-13,2.4044077,fsrq,35.50302101,-16.25459677,0.698,LSP,1.49E-12,83.8488,PKS 0219-164
4FGL J0223.0-3447,2.11E-12,3.93E-13,2.5489528,fsrq,35.73500688,-34.6913139,1.49,LSP,8.47E-13,-inf,PKS 0220-349
4FGL J0223.2-1653,3.40E-12,5.08E-13,2.7165964,fsrq,35.93235016,-16.94380569,1.015,LSP,3.93E-13,-inf,PKS 0221-171
4FGL J0224.2+0700,3.79E-12,5.98E-13,2.5021942,fsrq,36.11845081,6.989817111,0.511,LSP,4.96E-12,-inf,PKS 0221+067
4FGL J0224.9+1843,5.84E-12,7.79E-13,2.9506242,fsrq,36.2694535,18.78021302,2.69,LSP,6.14E-13,-inf,TXS 0222+185
4FGL J0226.5+0938,3.98E-12,5.45E-13,2.1507807,fsrq,36.64273541,9.645620628,2.605,LSP,5.17E-13,-inf,NVSS J022634+093843
4FGL J0227.2+3928,4.58E-12,7.80E-13,2.7907963,fsrq,36.78089986,39.52819947,1.571,LSP,1.99E-13,-inf,B2 0224+39
4FGL J0228.0-3026,2.24E-12,4.07E-13,2.1975,fsrq,36.91890281,-30.43434141,0.3028,LSP,1.07E-12,25.0566,PKS 0225-306
4FGL J0228.3-5547,2.62E-11,1.62E-12,2.2321527,fsrq,37.08999323,-55.76757793,2.464,LSP,4.64E-13,23.8587,PKS 0226-559
4FGL J0229.5-3644,1.31E-11,6.02E-13,2.6031847,fsrq,37.36853772,-36.73245061,2.115,LSP,1.21E-12,31.3951,PKS 0227-369
4FGL J0230.8+4032,1.08E-11,8.77E-13,2.4502447,fsrq,37.69046161,40.54807464,1.019,LSP,1.33E-12,43.3215,B3 0227+403
4FGL J0231.2-4745,6.15E-12,4.97E-13,2.7586105,fsrq,37.79918345,-47.76988419,0.765,LSP,1.22E-12,-inf,PMN J0231-4746
4FGL J0231.8+1322,9.23E-12,7.65E-13,2.6782382,fsrq,37.94122525,13.38186565,2.065,LSP,1.75E-12,15.03,4C +13.14
4FGL J0236.8-6136,1.26E-11,6.72E-13,2.3529525,fsrq,39.22185727,-61.60421762,0.467,LSP,8.22E-12,35.0707,PKS 0235-618
4FGL J0239.7+0415,9.30E-12,6.13E-13,2.7752786,fsrq,39.96359604,4.2726144,0.978,LSP,1.25E-12,-inf,PKS 0237+040
4FGL J0242.3+1102,6.65E-12,7.73E-13,2.5818152,fsrq,40.62154523,11.01686889,2.68,LSP,1.32E-12,-inf,OD 166
4FGL J0243.2-0550,4.01E-12,5.28E-13,2.7743633,fsrq,40.80195616,-5.848693153,1.805,LSP,9.98E-13,-inf,PKS 0240-060
4FGL J0245.4+2408,7.89E-12,7.24E-13,2.6761081,fsrq,41.32023314,24.09310403,2.243,LSP,3.94E-13,-inf,B2 0242+23
4FGL J0245.5-4502,7.89E-12,7.24E-13,2.9621017,fsrq,41.47546005,-44.99433899,0.2828,ISP,6.76E-12,-inf,PKS 0244-452
4FGL J0245.9-4650,3.75E-11,9.19E-13,2.41746,fsrq,41.5004916,-46.85478688,1.385,LSP,4.38E-12,30.5631,PKS 0244-470
4FGL J0251.5-5958,2.87E-12,4.02E-13,2.214969,fsrq,42.85936165,-60.00173506,1.373,LSP,2.82E-13,-inf,PKS 0250-602
4FGL J0252.8-2219,5.05E-11,1.05E-12,2.3597271,fsrq,43.19980688,-22.32374049,1.419,LSP,1.37E-12,57.2323,PKS 0250-225
4FGL J0252.9+3834,3.55E-12,5.30E-13,2.631836,fsrq,43.28703364,38.59027755,1.122,LSP,8.45E-13,-inf,B2 0249+38
4FGL J0253.2-5441,4.23E-12,4.11E-13,2.532099,fsrq,43.37158501,-54.69762111,0.539,LSP,5.46E-12,10.9039,PKS 0252-549
4FGL J0253.5+3216,4.70E-12,5.75E-13,2.173452,fsrq,43.39020896,32.2891366,0.859,LSP,1.52E-12,37.1288,MG3 J025334+3217
4FGL J0257.9-1215,3.62E-12,4.79E-13,2.647769,fsrq,44.42085246,-12.20038359,1.391,LSP,6.48E-13,-inf,PMN J0257-1211
4FGL J0259.4+0746,2.14E-11,9.59E-13,2.1981485,fsrq,44.86281927,7.794345278,0.893,LSP,1.02E-12,50.6943,PKS 0256+075
4FGL J0259.5+1924,2.53E-12,6.35E-13,2.3721404,fsrq,44.87356642,19.42897987,0.545,,0,-inf,TXS 0256+192
4FGL J0301.6-7155,4.83E-12,4.65E-13,2.538781,fsrq,45.41019065,-71.94288866,0.8232,LSP,1.34E-12,-inf,PKS 0301-721
4FGL J0303.3-7913,3.98E-12,5.27E-13,2.4661438,fsrq,45.83709767,-79.24903282,1.115,LSP,1.16E-12,13.6036,PMN J0303-7914
4FGL J0303.6-6211,1.12E-11,6.02E-13,2.4503238,fsrq,45.960964,-62.19043054,1.351,LSP,2.90E-12,26.2622,PKS 0302-623
4FGL J0309.0+1029,1.86E-11,1.11E-12,2.3504846,fsrq,47.26509791,10.48787249,0.863,LSP,1.03E-11,42.9472,PKS 0306+102
4FGL J0309.9-6058,2.78E-11,8.70E-13,2.4910004,fsrq,47.48374646,-60.97751565,1.479,LSP,2.18E-12,15.1107,PKS 0308-611
4FGL J0310.9+3815,5.58E-12,6.24E-13,2.395798,fsrq,47.70783303,38.24828831,0.945,LSP,1.34E-12,14.2427,B3 0307+380
4FGL J0312.8+0134,7.41E-12,6.27E-13,2.327311,fsrq,48.18168016,1.554879131,0.664,LSP,1.41E-12,24.8423,PKS 0310+013
4FGL J0314.6-6549,2.39E-12,3.94E-13,2.4364452,fsrq,48.59352241,-65.80686008,0.636,LSP,7.84E-13,-inf,PKS 0313-660
4FGL J0315.9-1033,8.33E-12,6.31E-13,2.475458,fsrq,48.98697021,-10.52760303,1.565,LSP,2.47E-13,11.6045,PKS 0313-107
4FGL J0317.7-2804,1.45E-12,3.33E-13,2.2993774,fsrq,49.39041379,-28.05517016,1.166,LSP,2.36E-13,-inf,PKS 0315-282
4FGL J0325.0-2416,1.59E-12,3.86E-13,2.488264,fsrq,51.30560265,-24.26334805,1.161,LSP,1.77E-13,-inf,PKS 0323-244
4FGL J0325.7+2225,2.06E-11,9.70E-13,2.653165,fsrq,51.40339315,22.40010157,2.066,LSP,3.99E-12,-inf,TXS 0322+222
4FGL J0332.1-1123,2.16E-12,5.16E-13,2.3897016,fsrq,53.09694986,-11.33072601,0.207,LSP,2.91E-12,-inf,1RXS J033223.2-111938
4FGL J0336.4+3224,1.29E-11,1.49E-12,2.800158,fsrq,54.12544838,32.30815063,1.259,LSP,1.10E-11,-inf,NRAO 140
4FGL J0336.8-3612,3.75E-12,4.98E-13,2.8129003,fsrq,54.22509777,-36.2683955,1.537,LSP,9.65E-13,-inf,PKS 0335-364
4FGL J0337.8-1157,2.48E-12,5.43E-13,2.7235012,fsrq,54.48104811,-12.06792872,3.442,LSP,1.00E-13,-inf,PKS 0335-122
4FGL J0339.5-0146,5.84E-11,1.33E-12,2.3237684,fsrq,54.87890745,-1.776612258,0.85,LSP,4.97E-12,43.9741,PKS 0336-01
4FGL J0340.4-2422,1.72E-12,3.71E-13,1.9989964,fsrq,55.09537125,-24.40204666,0.683,,0,-inf,NVSS J034022-242411
4FGL J0342.2+3858,4.30E-12,6.17E-13,2.2570558,fsrq,55.56778704,38.98507674,0.945,LSP,6.54E-13,26.217,GB6 J0342+3858
4FGL J0343.2-2529,5.90E-12,6.21E-13,2.5365694,fsrq,55.83134957,-25.50483503,1.419,LSP,3.18E-12,12.1715,PKS 0341-256
4FGL J0343.4+3621,5.47E-12,7.66E-13,2.3537512,fsrq,55.87063508,36.37011938,1.485,LSP,7.70E-13,-inf,OE 367
4FGL J0348.5-2749,8.72E-12,5.28E-13,2.176991,fsrq,57.15893571,-27.82043491,0.991,LSP,1.82E-12,101.94,PKS 0346-27
4FGL J0349.8-2103,1.52E-11,7.07E-13,2.4779627,fsrq,57.49094448,-21.04659487,2.944,LSP,6.87E-13,-inf,PKS 0347-211
4FGL J0354.7-1617,1.24E-11,1.19E-12,2.5286722,fsrq,58.60428619,-16.27290344,1.187,LSP,4.27E-13,-inf,PKS 0352-164
4FGL J0401.7+2112,8.61E-12,7.69E-13,2.419842,fsrq,60.43819201,21.17460751,0.834,LSP,1.17E-12,34.5458,TXS 0358+210
